query_id;plan_id;stage_id;pipeline_id;dop;query_dop;operator_type;execution_time;l_input_rows;r_input_rows;peak_mem;output_rows;child_plan
7;39;5;0;32;32;TableScanOperator;4500.072;5736314;0;60534784;5736314;
7;40;5;0;32;32;FilterProject;307.860;5736314;0;4160;5736314;39
7;41;5;0;32;32;PartitionedOutput;432.000;5736314;0;1731264;5736314;40
7;42;6;0;8;32;TableScanOperator;1.471;25;0;26816;25;
7;43;6;0;8;32;PartitionedOutput;0.715;25;0;17344;25;42
8;0;0;0;1;64;MergeOperator;3530.000;3885517;0;52329135;3885517;16
8;1;0;0;1;64;ExplainAnalyzeOperator;5.182;3885517;0;0;1;0
8;2;0;0;1;64;TaskOutputOperator;0.094;1;0;0;1;1
8;3;1;1;64;64;ExchangeOperator;911.279;3885517;0;12746752;3885517;16
8;4;1;1;64;64;OrderBy;13394.640;3885517;0;79884160;3885517;3
8;5;1;0;4;64;LocalMerge;1320.008;0;0;454656;3885517;6
8;6;1;1;64;64;CallbackSink;16.860;3885517;0;0;0;4
8;7;1;0;4;64;PartitionedOutput;1735.690;3885517;0;37894784;3885517;5
8;8;2;3;64;64;LocalExchangeSourceOperator;808.480;11474023;0;2412544;11474023;26
8;9;2;2;64;64;HashBuilderOperator;18503.650;11474023;0;45662464;0;27
8;10;2;1;64;64;ExchangeOperator;2840.257;15000000;0;12353536;15000000;29
8;11;2;1;64;64;LookupJoinOperator;2886.330;15000000;0;2140160;11474023;9,10
8;12;2;0;64;64;LocalExchangeSinkOperator;515.428;3885535;0;0;3885535;19
8;13;2;1;64;64;LookupJoinOperator;907.150;11474023;0;231424;11474023;24,11
8;14;2;0;64;64;Aggregation;19199.000;3885535;0;23171072;3885517;12
8;15;2;1;64;64;FilterProject;379.670;11474023;0;12288;11474023;13
8;16;2;0;64;64;PartitionedOutput;5005.530;3885517;0;8964608;3885517;14
8;17;2;1;64;64;PartialAggregation;12844.530;11474023;0;78675968;3885535;15
8;18;2;1;64;64;FilterProject;43.470;3885535;0;0;3885535;17
